ID,Site,Morph,Type,Variety,ForestArea,Height,Diameter,HerbivRate,TotalFlower,DevRate,SeedSet,AvgMass,SiteYield,SiteYield_Root
B_T01_L1,B,Thrum,Leaf,Kitawase,27.31,132.8,5.64,47.06,2248,2.49,3.65,0.0279,12.51378656,3.537483083
B_T01_L2,B,Thrum,Leaf,Kitawase,27.31,132.8,5.64,47.06,2248,2.49,3.65,0.0279,12.51378656,3.537483083
B_T02_F1,B,Thrum,Flower,Kitawase,27.31,110,4.63,66.67,1172,4.01,5.97,0.028,12.51378656,3.537483083
B_T02_F2,B,Thrum,Flower,Kitawase,27.31,110,4.63,66.67,1172,4.01,5.97,0.028,12.51378656,3.537483083
B_T02_L1,B,Thrum,Leaf,Kitawase,27.31,110,4.63,66.67,1172,4.01,5.97,0.028,12.51378656,3.537483083
B_T02_L2,B,Thrum,Leaf,Kitawase,27.31,110,4.63,66.67,1172,4.01,5.97,0.028,12.51378656,3.537483083
B_T03_F1,B,Thrum,Flower,Kitawase,27.31,127.6,6.67,25.71,1840,6.74,9.46,0.0277,12.51378656,3.537483083
B_T03_F2,B,Thrum,Flower,Kitawase,27.31,127.6,6.67,25.71,1840,6.74,9.46,0.0277,12.51378656,3.537483083
B_T03_L1,B,Thrum,Leaf,Kitawase,27.31,127.6,6.67,25.71,1840,6.74,9.46,0.0277,12.51378656,3.537483083
B_T03_L2,B,Thrum,Leaf,Kitawase,27.31,127.6,6.67,25.71,1840,6.74,9.46,0.0277,12.51378656,3.537483083
C_P01_F1,C,Pin,Flower,Horominori,43.99,93.5,4.78,92,1870,1.87,3.74,NA,8.235634309,2.869779488
C_P01_F2,C,Pin,Flower,Horominori,43.99,93.5,4.78,92,1870,1.87,3.74,NA,8.235634309,2.869779488
C_P01_L1,C,Pin,Leaf,Horominori,43.99,93.5,4.78,92,1870,1.87,3.74,NA,8.235634309,2.869779488
C_P01_L2,C,Pin,Leaf,Horominori,43.99,93.5,4.78,92,1870,1.87,3.74,NA,8.235634309,2.869779488
C_P02_F1,C,Pin,Flower,Horominori,43.99,99.6,4.9,88.89,1141,2.45,6.13,0.037,8.235634309,2.869779488
C_P02_F2,C,Pin,Flower,Horominori,43.99,99.6,4.9,88.89,1141,2.45,6.13,0.037,8.235634309,2.869779488
C_P02_L1,C,Pin,Leaf,Horominori,43.99,99.6,4.9,88.89,1141,2.45,6.13,0.037,8.235634309,2.869779488
C_P02_L2,C,Pin,Leaf,Horominori,43.99,99.6,4.9,88.89,1141,2.45,6.13,0.037,8.235634309,2.869779488
C_P03_F1,C,Pin,Flower,Horominori,43.99,96.1,4.12,100,2016,0.79,2.38,0.0256,8.235634309,2.869779488
C_P03_F2,C,Pin,Flower,Horominori,43.99,96.1,4.12,100,2016,0.79,2.38,0.0256,8.235634309,2.869779488
C_P03_L1,C,Pin,Leaf,Horominori,43.99,96.1,4.12,100,2016,0.79,2.38,0.0256,8.235634309,2.869779488
C_P03_L2,C,Pin,Leaf,Horominori,43.99,96.1,4.12,100,2016,0.79,2.38,0.0256,8.235634309,2.869779488
C_T01_F1,C,Thrum,Flower,Horominori,43.99,101.2,4.76,87.5,949,0.63,1.37,0.0205,8.235634309,2.869779488
C_T01_F2,C,Thrum,Flower,Horominori,43.99,101.2,4.76,87.5,949,0.63,1.37,0.0205,8.235634309,2.869779488
C_T01_L1,C,Thrum,Leaf,Horominori,43.99,101.2,4.76,87.5,949,0.63,1.37,0.0205,8.235634309,2.869779488
C_T01_L2,C,Thrum,Leaf,Horominori,43.99,101.2,4.76,87.5,949,0.63,1.37,0.0205,8.235634309,2.869779488
C_T02_F1,C,Thrum,Flower,Horominori,43.99,124.4,6.36,88.1,2342,2.82,8.54,0.0367,8.235634309,2.869779488
C_T02_F2,C,Thrum,Flower,Horominori,43.99,124.4,6.36,88.1,2342,2.82,8.54,0.0367,8.235634309,2.869779488
C_T02_L1,C,Thrum,Leaf,Horominori,43.99,124.4,6.36,88.1,2342,2.82,8.54,0.0367,8.235634309,2.869779488
C_T02_L2,C,Thrum,Leaf,Horominori,43.99,124.4,6.36,88.1,2342,2.82,8.54,0.0367,8.235634309,2.869779488
C_T03_F1,C,Thrum,Flower,Horominori,43.99,106.7,4.52,79.17,1254,3.27,7.1,0.0381,8.235634309,2.869779488
C_T03_F2,C,Thrum,Flower,Horominori,43.99,106.7,4.52,79.17,1254,3.27,7.1,0.0381,8.235634309,2.869779488
C_T03_L1,C,Thrum,Leaf,Horominori,43.99,106.7,4.52,79.17,1254,3.27,7.1,0.0381,8.235634309,2.869779488
C_T03_L2,C,Thrum,Leaf,Horominori,43.99,106.7,4.52,79.17,1254,3.27,7.1,0.0381,8.235634309,2.869779488
D_P01_F1,D,Pin,Flower,Horominori,19.72,85.7,4.12,61.11,1055,1.04,2.84,0.037,2.945205435,1.716160084
D_P01_F2,D,Pin,Flower,Horominori,19.72,85.7,4.12,61.11,1055,1.04,2.84,0.037,2.945205435,1.716160084
D_P01_L1,D,Pin,Leaf,Horominori,19.72,85.7,4.12,61.11,1055,1.04,2.84,0.037,2.945205435,1.716160084
D_P01_L2,D,Pin,Leaf,Horominori,19.72,85.7,4.12,61.11,1055,1.04,2.84,0.037,2.945205435,1.716160084
D_P02_F1,D,Pin,Flower,Horominori,19.72,71.6,4.16,92.86,1689,3.02,8.41,0.0269,2.945205435,1.716160084
D_P02_F2,D,Pin,Flower,Horominori,19.72,71.6,4.16,92.86,1689,3.02,8.41,0.0269,2.945205435,1.716160084
D_P02_L1,D,Pin,Leaf,Horominori,19.72,71.6,4.16,92.86,1689,3.02,8.41,0.0269,2.945205435,1.716160084
D_P02_L2,D,Pin,Leaf,Horominori,19.72,71.6,4.16,92.86,1689,3.02,8.41,0.0269,2.945205435,1.716160084
D_P03_F1,D,Pin,Flower,Horominori,19.72,50.2,3.53,100,388,2.32,2.84,0.0344,2.945205435,1.716160084
D_P03_F2,D,Pin,Flower,Horominori,19.72,50.2,3.53,100,388,2.32,2.84,0.0344,2.945205435,1.716160084
D_P03_L1,D,Pin,Leaf,Horominori,19.72,50.2,3.53,100,388,2.32,2.84,0.0344,2.945205435,1.716160084
D_P03_L2,D,Pin,Leaf,Horominori,19.72,50.2,3.53,100,388,2.32,2.84,0.0344,2.945205435,1.716160084
D_T01_F1,D,Thrum,Flower,Horominori,19.72,NA,NA,NA,NA,NA,NA,NA,2.945205435,1.716160084
D_T01_F2,D,Thrum,Flower,Horominori,19.72,NA,NA,NA,NA,NA,NA,NA,2.945205435,1.716160084
D_T01_L1,D,Thrum,Leaf,Horominori,19.72,NA,NA,NA,NA,NA,NA,NA,2.945205435,1.716160084
D_T01_L2,D,Thrum,Leaf,Horominori,19.72,NA,NA,NA,NA,NA,NA,NA,2.945205435,1.716160084
D_T02_F1,D,Thrum,Flower,Horominori,19.72,77.7,3.99,52.94,1068,2.53,5.06,0.021,2.945205435,1.716160084
D_T02_F2,D,Thrum,Flower,Horominori,19.72,77.7,3.99,52.94,1068,2.53,5.06,0.021,2.945205435,1.716160084
D_T02_L1,D,Thrum,Leaf,Horominori,19.72,77.7,3.99,52.94,1068,2.53,5.06,0.021,2.945205435,1.716160084
D_T02_L2,D,Thrum,Leaf,Horominori,19.72,77.7,3.99,52.94,1068,2.53,5.06,0.021,2.945205435,1.716160084
D_T03_F1,D,Thrum,Flower,Horominori,19.72,NA,NA,NA,NA,NA,NA,NA,2.945205435,1.716160084
D_T03_F2,D,Thrum,Flower,Horominori,19.72,NA,NA,NA,NA,NA,NA,NA,2.945205435,1.716160084
D_T03_L1,D,Thrum,Leaf,Horominori,19.72,NA,NA,NA,NA,NA,NA,NA,2.945205435,1.716160084
D_T03_L2,D,Thrum,Leaf,Horominori,19.72,NA,NA,NA,NA,NA,NA,NA,2.945205435,1.716160084
E_P01_F1,E,Pin,Flower,Horominori,68.75,64.8,3.6,66.67,631,3.8,5.55,0.0125,7.452175663,2.729867334
E_P01_F2,E,Pin,Flower,Horominori,68.75,64.8,3.6,66.67,631,3.8,5.55,0.0125,7.452175663,2.729867334
E_P01_L1,E,Pin,Leaf,Horominori,68.75,64.8,3.6,66.67,631,3.8,5.55,0.0125,7.452175663,2.729867334
E_P01_L2,E,Pin,Leaf,Horominori,68.75,64.8,3.6,66.67,631,3.8,5.55,0.0125,7.452175663,2.729867334
E_P02_F1,E,Pin,Flower,Horominori,68.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
E_P02_F2,E,Pin,Flower,Horominori,68.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
E_P02_L1,E,Pin,Leaf,Horominori,68.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
E_P02_L2,E,Pin,Leaf,Horominori,68.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
E_P03_F1,E,Pin,Flower,Horominori,68.75,95.7,4.26,86.67,1585,3.41,5.24,0.0261,7.452175663,2.729867334
E_P03_F2,E,Pin,Flower,Horominori,68.75,95.7,4.26,86.67,1585,3.41,5.24,0.0261,7.452175663,2.729867334
E_P03_L1,E,Pin,Leaf,Horominori,68.75,95.7,4.26,86.67,1585,3.41,5.24,0.0261,7.452175663,2.729867334
E_P03_L2,E,Pin,Leaf,Horominori,68.75,95.7,4.26,86.67,1585,3.41,5.24,0.0261,7.452175663,2.729867334
E_T01_F2,E,Thrum,Flower,Horominori,68.75,103.7,5.72,80.95,1984,4.08,5.85,0.0357,7.452175663,2.729867334
E_T01_L1,E,Thrum,Leaf,Horominori,68.75,103.7,5.72,80.95,1984,4.08,5.85,0.0357,7.452175663,2.729867334
E_T01_L2,E,Thrum,Leaf,Horominori,68.75,103.7,5.72,80.95,1984,4.08,5.85,0.0357,7.452175663,2.729867334
E_T02_F1,E,Thrum,Flower,Horominori,68.75,84.7,4.65,93.75,1353,2.66,6.21,0.0357,7.452175663,2.729867334
E_T02_F2,E,Thrum,Flower,Horominori,68.75,84.7,4.65,93.75,1353,2.66,6.21,0.0357,7.452175663,2.729867334
E_T02_L1,E,Thrum,Leaf,Horominori,68.75,84.7,4.65,93.75,1353,2.66,6.21,0.0357,7.452175663,2.729867334
E_T02_L2,E,Thrum,Leaf,Horominori,68.75,84.7,4.65,93.75,1353,2.66,6.21,0.0357,7.452175663,2.729867334
E_T03_F1,E,Thrum,Flower,Horominori,68.75,87.5,4.24,80,909,1.65,3.3,0.0378,7.452175663,2.729867334
E_T03_F2,E,Thrum,Flower,Horominori,68.75,87.5,4.24,80,909,1.65,3.3,0.0378,7.452175663,2.729867334
E_T03_L1,E,Thrum,Leaf,Horominori,68.75,87.5,4.24,80,909,1.65,3.3,0.0378,7.452175663,2.729867334
E_T03_L2,E,Thrum,Leaf,Horominori,68.75,87.5,4.24,80,909,1.65,3.3,0.0378,7.452175663,2.729867334
F_P01_F1,F,Pin,Flower,Kitawase,85.78,112.2,5.21,90.48,1951,2.72,3.38,0.0307,7.604393109,2.757606409
F_P01_F2,F,Pin,Flower,Kitawase,85.78,112.2,5.21,90.48,1951,2.72,3.38,0.0307,7.604393109,2.757606409
F_P01_L1,F,Pin,Leaf,Kitawase,85.78,112.2,5.21,90.48,1951,2.72,3.38,0.0307,7.604393109,2.757606409
F_P01_L2,F,Pin,Leaf,Kitawase,85.78,112.2,5.21,90.48,1951,2.72,3.38,0.0307,7.604393109,2.757606409
F_P02_F1,F,Pin,Flower,Kitawase,85.78,124.1,7.69,70.79,7695,3.5,6.69,0.0289,7.604393109,2.757606409
F_P02_F2,F,Pin,Flower,Kitawase,85.78,124.1,7.69,70.79,7695,3.5,6.69,0.0289,7.604393109,2.757606409
F_P02_L1,F,Pin,Leaf,Kitawase,85.78,124.1,7.69,70.79,7695,3.5,6.69,0.0289,7.604393109,2.757606409
F_P02_L2,F,Pin,Leaf,Kitawase,85.78,124.1,7.69,70.79,7695,3.5,6.69,0.0289,7.604393109,2.757606409
F_P03_F1,F,Pin,Flower,Kitawase,85.78,103.8,5.63,61.76,3757,3.22,3.81,0.0374,7.604393109,2.757606409
F_P03_F2,F,Pin,Flower,Kitawase,85.78,103.8,5.63,61.76,3757,3.22,3.81,0.0374,7.604393109,2.757606409
F_P03_L1,F,Pin,Leaf,Kitawase,85.78,103.8,5.63,61.76,3757,3.22,3.81,0.0374,7.604393109,2.757606409
F_P03_L2,F,Pin,Leaf,Kitawase,85.78,103.8,5.63,61.76,3757,3.22,3.81,0.0374,7.604393109,2.757606409
F_T01_F1,F,Thrum,Flower,Kitawase,85.78,135.7,6.62,51.72,1990,4.12,6.73,0.0311,7.604393109,2.757606409
F_T01_F2,F,Thrum,Flower,Kitawase,85.78,135.7,6.62,51.72,1990,4.12,6.73,0.0311,7.604393109,2.757606409
F_T01_L1,F,Thrum,Leaf,Kitawase,85.78,135.7,6.62,51.72,1990,4.12,6.73,0.0311,7.604393109,2.757606409
F_T01_L2,F,Thrum,Leaf,Kitawase,85.78,135.7,6.62,51.72,1990,4.12,6.73,0.0311,7.604393109,2.757606409
F_T02_F1,F,Thrum,Flower,Kitawase,85.78,144.1,7.26,78.85,5805,4.94,7.56,0.0223,7.604393109,2.757606409
F_T02_F2,F,Thrum,Flower,Kitawase,85.78,144.1,7.26,78.85,5805,4.94,7.56,0.0223,7.604393109,2.757606409
F_T02_L1,F,Thrum,Leaf,Kitawase,85.78,144.1,7.26,78.85,5805,4.94,7.56,0.0223,7.604393109,2.757606409
F_T02_L2,F,Thrum,Leaf,Kitawase,85.78,144.1,7.26,78.85,5805,4.94,7.56,0.0223,7.604393109,2.757606409
F_T03_F1,F,Thrum,Flower,Kitawase,85.78,75.6,5.65,68.89,2300,6.96,8,0.0387,7.604393109,2.757606409
F_T03_F2,F,Thrum,Flower,Kitawase,85.78,75.6,5.65,68.89,2300,6.96,8,0.0387,7.604393109,2.757606409
F_T03_L1,F,Thrum,Leaf,Kitawase,85.78,75.6,5.65,68.89,2300,6.96,8,0.0387,7.604393109,2.757606409
F_T03_L2,F,Thrum,Leaf,Kitawase,85.78,75.6,5.65,68.89,2300,6.96,8,0.0387,7.604393109,2.757606409
A_B_Negative,Blank,Blank,Control,Blank,NA,NA,NA,NA,,NA,NA,NA,NA,NA
C_F_Negative,Blank,Blank,Control,Blank,NA,NA,NA,NA,,NA,NA,NA,NA,NA
D_Negative,Blank,Blank,Control,Blank,NA,NA,NA,NA,,NA,NA,NA,NA,NA
E_Negative1,Blank,Blank,Control,Blank,NA,NA,NA,NA,,NA,NA,NA,NA,NA
EBlank1,Blank,Blank,Blank,Blank,NA,NA,NA,NA,,NA,NA,NA,NA,NA
EBlank2,Blank,Blank,Blank,Blank,NA,NA,NA,NA,,NA,NA,NA,NA,NA
EBlank3,Blank,Blank,Blank,Blank,NA,NA,NA,NA,,NA,NA,NA,NA,NA
EBlank4,Blank,Blank,Blank,Blank,NA,NA,NA,NA,,NA,NA,NA,NA,NA
EBlank5,Blank,Blank,Blank,Blank,NA,NA,NA,NA,,NA,NA,NA,NA,NA
EBlank6,Blank,Blank,Blank,Blank,NA,NA,NA,NA,,NA,NA,NA,NA,NA
EBlank7,Blank,Blank,Blank,Blank,NA,NA,NA,NA,,NA,NA,NA,NA,NA
EBlank8,Blank,Blank,Blank,Blank,NA,NA,NA,NA,,NA,NA,NA,NA,NA
EBlank9,Blank,Blank,Blank,Blank,NA,NA,NA,NA,,NA,NA,NA,NA,NA
PCRBlank1,Blank,Blank,Blank,Blank,NA,NA,NA,NA,,NA,NA,NA,NA,NA
PCRBlank2,Blank,Blank,Blank,Blank,NA,NA,NA,NA,,NA,NA,NA,NA,NA
